,neo,H,e,a,i,ma,n,moid,class,pha
947665,1.0,21.8,0.5957017718860217,2.545937783175561,27.3252306089233,81.17045016326996,0.2426232380099326,0.223267,AMO,0.0
450202,1.0,19.8,0.2885066266868017,1.666068779696226,19.97365809102017,86.10934342290106,0.4583156471060419,0.218314,AMO,0.0
594799,1.0,18.4,0.8871904396511673,3.336893933014839,35.86967880099706,138.2448319701309,0.1616927213370157,0.0536653,APO,0.0
956772,1.0,28.9,0.1509905903022125,1.004589203120808,3.780842712385382,252.3047455403492,0.9788616512391376,0.00802026,APO,0.0
867105,1.0,24.8,0.6392198016155146,2.176154625291665,7.466470935616506,125.483174431469,0.3070219657071476,0.0123569,APO,0.0
955937,1.0,23.5,0.5118892417639582,0.9339944230210568,15.80950865107918,304.6411324103033,1.091912026397644,0.0163372,ATE,0.0
859507,1.0,25.8,0.1247147925503493,1.098548511056564,8.356222641471037,34.42601533691618,0.856002857057385,0.0103894,APO,0.0
934970,1.0,27.1,0.2902244805963822,1.404483420583762,8.972172803607974,160.2766540523368,0.5921464753744873,0.021965,APO,0.0
806448,1.0,21.1,0.06301564512226822,0.9655494732056814,23.39225525563772,112.7788649573719,1.038824723434235,0.0386158,ATE,1.0
921108,1.0,26.6,0.3778242588752309,1.561764203000852,4.608853432802299,173.7079891966091,0.5049877900870792,0.0164095,APO,0.0
854312,1.0,27.7,0.1633472970986855,1.226840076469632,7.839299816730812,159.2758438085313,0.7253074566368558,0.0312919,AMO,0.0
715540,1.0,21.4,0.5790624190249376,1.936403020688116,5.384769392820447,5.292256570161262,0.3657719913588013,0.0311985,APO,1.0
956866,1.0,24.3,0.2508864061404776,1.130150413898889,30.98652008070836,58.45753614966404,0.8203509800434466,0.0484648,APO,0.0
947767,1.0,28.0,0.353352103777377,1.144025979461969,2.032976149672765,11.74072438403244,0.8054716209186528,0.00387585,APO,0.0
906875,1.0,24.2,0.1284789793288723,1.158516676201836,11.64312218055351,345.9929861815863,0.7904067483084694,0.0966327,APO,0.0
9171,1.0,16.4,0.5529633941480585,2.708484497811266,7.84530180514068,324.9414672958832,0.2211131352067477,0.251513,AMO,0.0
934672,1.0,20.2,0.5582660062076089,1.731657093703519,48.04304413157235,49.29399520337069,0.4325250145712251,0.161707,APO,0.0
586329,1.0,20.9,0.2709114824119316,1.551179076408778,21.37452213254572,201.7802895412869,0.5101655949931932,0.135921,AMO,0.0
779190,1.0,24.3,0.4955432876307983,2.147505671494896,8.848841295857387,353.9380361582861,0.3131861836441617,0.0870662,AMO,0.0
764704,1.0,22.1,0.5328869151848206,2.136766589112691,5.40429740545393,352.284185648556,0.3155501909841341,0.0901232,APO,0.0
824452,1.0,24.2,0.4452117171556833,1.14568296251335,4.347691379502682,51.9416911364025,0.8037248416877792,0.00814571,APO,0.0
700429,1.0,25.2,0.4213347238120018,1.01285176744892,17.58470300292504,72.38553721148168,0.9669081891458008,0.0188571,APO,0.0
617723,1.0,23.1,0.8143183438778068,2.852111413742841,12.29707620640755,350.1910653799501,0.204622951166838,0.000949069,APO,0.0
652044,1.0,20.7,0.6393979349964819,2.592624513148097,12.46423358395814,352.5823358466922,0.2360992673887266,0.0455759,APO,1.0
953212,1.0,20.6,0.6496847622187816,1.674133213253474,14.87270627185495,63.2260403503631,0.4550080237111104,0.21675,APO,0.0
579342,1.0,20.3,0.567774167756374,1.934622502740988,7.32433045899619,284.3939056152319,0.3662770615349344,0.0308388,APO,1.0
729167,1.0,21.6,0.3611175859633276,1.978871726811148,1.671958998463745,255.3432625924842,0.3540606061785431,0.274576,AMO,0.0
938741,1.0,22.949,0.5527038669396785,2.368120252914018,3.805861361388021,186.0434497503363,0.2704571366624449,0.0807083,AMO,0.0
773963,1.0,26.0,0.5476255806935232,2.346235631521435,6.641117280598319,349.6203531518456,0.2742499991537835,0.0694531,AMO,0.0
430551,1.0,17.9,0.562571945372812,2.659353226160067,20.75847004354511,36.68345858681054,0.2272689131186972,0.148651,AMO,0.0
759306,1.0,23.9,0.5823973903014965,1.861457108963915,10.21537119762204,230.0952079743462,0.3880829145033249,0.00592578,APO,0.0
545236,1.0,23.5,0.4268908479212538,2.021184596267167,1.141481433625936,68.6961845662117,0.3430007773212928,0.175438,AMO,0.0
764755,1.0,22.9,0.1283145040994359,1.328241691972513,16.00813477929134,27.17736365782129,0.6438555026738813,0.1829,AMO,0.0
799493,1.0,20.5,0.6244735604705993,2.545104291553992,14.63600263542133,148.6746407592416,0.242742432138269,0.0484147,APO,1.0
932399,1.0,26.555,0.4526009945227548,1.553978763183645,2.262427897783629,334.9680406480054,0.5087875256210003,0.00453778,APO,0.0
577475,1.0,25.3,0.5266877644487935,1.534376935274055,4.580764680679418,29.87944158314877,0.5185683198853283,0.00350668,APO,0.0
951800,1.0,27.2,0.4327676873875498,1.541688375976171,9.095153786114222,336.9203036273497,0.5148837399580143,0.00158482,APO,0.0
875757,1.0,26.9,0.4543218040495844,1.044470745097534,0.4518107085418115,312.0191971884028,0.923335755452036,0.00652793,APO,0.0
368202,1.0,20.4,0.6117969805421554,2.492653907843064,12.23552900477498,298.2934245821004,0.2504442696676799,0.0107122,APO,1.0
448817,1.0,17.9,0.5286750643797625,2.478516970396777,21.9874035308191,27.14462334226096,0.2525900440247434,0.249753,AMO,0.0
625926,1.0,24.7,0.09778610392834013,0.9665141208504046,10.12056067595442,307.0046270350763,1.037269883647061,0.0405459,ATE,0.0
920926,1.0,26.2,0.3164978960518511,1.416861654074413,5.849476162058398,31.44053203039394,0.5844036285885195,0.0306622,APO,0.0
848927,1.0,24.9,0.4562733790683221,2.107451787922796,7.024529323617429,4.621669640588478,0.3221570218204195,0.139528,AMO,0.0
594932,1.0,23.4,0.5670797652053751,2.479638531570121,8.701389256590874,240.7521428418155,0.2524186905315208,0.0902513,AMO,0.0
875716,1.0,23.4,0.7263304792922274,1.898182895602989,4.929972958485457,24.82658537898156,0.3768747057270506,0.024159,APO,0.0
684561,1.0,27.5,0.4349974574322557,1.724665885274889,3.029741156020344,11.27313919895984,0.4351576417863523,0.00960122,APO,0.0
712429,1.0,25.9,0.425324974326904,1.760538764974684,6.176878249938285,9.824114900126949,0.4219254144427104,0.035302,APO,0.0
523944,1.0,18.8,0.5915216482740921,2.606767812112592,26.89699152547598,67.34064012697254,0.2341804031097236,0.208448,AMO,0.0
855568,1.0,26.2,0.4212258042197097,1.734230040072399,10.6422247993486,15.10100548844704,0.4315628145430719,0.0154277,APO,0.0
615287,1.0,25.5,0.7195401164080331,2.133329903585232,5.460044943974673,16.8287540508864,0.3163130008542483,0.000588515,APO,0.0
935840,1.0,24.3,0.4122811623017884,2.042123525785799,4.027342833290205,4.025079139562791,0.3377388817427933,0.216623,AMO,0.0
946179,1.0,21.2,0.6185936946007586,2.17867944686074,9.793614263908026,120.8226193198897,0.3064884193043523,0.0244754,APO,1.0
