Model,AUC,ExecutionTime,seed,fraction,drops,useclass,noise,n_jobs
RandomForest,0.884,2.222,2,0.125,0,True,0,2
RandomForest,0.887,2.954,2,0.125,0,True,0,4
RandomForest,0.873,3.514,2,0.125,0,True,0,8
RandomForest,0.887,3.44,2,0.125,0,True,0,16
RandomForest,0.899,3.514,2,0.125,0,True,0,32
RandomForest,0.892,2.919,2,0.125,0,True,0,64
RandomForest,0.878,1.53,2,0.062,0,True,0,1
RandomForest,0.883,2.451,2,0.062,0,True,0,2
RandomForest,0.845,2.892,2,0.062,0,True,0,4
RandomForest,0.864,3.009,2,0.062,0,True,0,8
RandomForest,0.89,3.753,2,0.062,0,True,0,16
RandomForest,0.887,3.22,2,0.062,0,True,0,32
RandomForest,0.836,2.238,2,0.062,0,True,0,64
RandomForest,0.826,1.276,2,0.031,0,True,0,1
RandomForest,0.831,2.437,2,0.031,0,True,0,2
RandomForest,0.89,2.433,2,0.031,0,True,0,4
RandomForest,0.824,3.31,2,0.031,0,True,0,8
RandomForest,0.895,3.331,2,0.031,0,True,0,16
RandomForest,0.893,3.199,2,0.031,0,True,0,32
RandomForest,0.893,3.172,2,0.031,0,True,0,64
RandomForest,0.906,1.158,2,0.016,0,True,0,1
RandomForest,0.9,2.905,2,0.016,0,True,0,2
RandomForest,0.877,3.11,2,0.016,0,True,0,4
RandomForest,0.895,3.159,2,0.016,0,True,0,8
RandomForest,0.892,3.319,2,0.016,0,True,0,16
RandomForest,0.872,2.819,2,0.016,0,True,0,32
RandomForest,0.878,2.483,2,0.016,0,True,0,64
RandomForest,0.881,5.842,3,1.0,0,True,0,1
RandomForest,0.89,3.746,3,1.0,0,True,0,2
RandomForest,0.902,2.724,3,1.0,0,True,0,4
RandomForest,0.891,3.688,3,1.0,0,True,0,8
RandomForest,0.887,4.627,3,1.0,0,True,0,16
RandomForest,0.87,4.649,3,1.0,0,True,0,32
RandomForest,0.882,4.401,3,1.0,0,True,0,64
RandomForest,0.891,3.822,3,0.5,0,True,0,1
RandomForest,0.891,2.687,3,0.5,0,True,0,2
RandomForest,0.901,2.682,3,0.5,0,True,0,4
RandomForest,0.889,3.738,3,0.5,0,True,0,8
RandomForest,0.893,4.208,3,0.5,0,True,0,16
RandomForest,0.878,4.156,3,0.5,0,True,0,32
RandomForest,0.885,3.072,3,0.5,0,True,0,64
RandomForest,0.865,2.488,3,0.25,0,True,0,1
RandomForest,0.887,2.553,3,0.25,0,True,0,2
RandomForest,0.891,2.715,3,0.25,0,True,0,4
RandomForest,0.895,3.415,3,0.25,0,True,0,8
RandomForest,0.891,4.227,3,0.25,0,True,0,16
RandomForest,0.876,3.808,3,0.25,0,True,0,32
RandomForest,0.891,2.839,3,0.25,0,True,0,64
RandomForest,0.875,1.924,3,0.125,0,True,0,1
RandomForest,0.88,2.143,3,0.125,0,True,0,2
RandomForest,0.9,3.572,3,0.125,0,True,0,4
RandomForest,0.901,3.403,3,0.125,0,True,0,8
RandomForest,0.902,3.299,3,0.125,0,True,0,16
RandomForest,0.875,3.879,3,0.125,0,True,0,32
RandomForest,0.899,2.658,3,0.125,0,True,0,64
RandomForest,0.848,1.59,3,0.062,0,True,0,1
RandomForest,0.895,2.017,3,0.062,0,True,0,2
RandomForest,0.854,2.553,3,0.062,0,True,0,4
RandomForest,0.891,2.994,3,0.062,0,True,0,8
RandomForest,0.889,3.526,3,0.062,0,True,0,16
RandomForest,0.9,3.47,3,0.062,0,True,0,32
RandomForest,0.877,2.38,3,0.062,0,True,0,64
RandomForest,0.845,1.329,3,0.031,0,True,0,1
RandomForest,0.874,2.44,3,0.031,0,True,0,2
RandomForest,0.882,2.713,3,0.031,0,True,0,4
RandomForest,0.892,3.198,3,0.031,0,True,0,8
RandomForest,0.887,3.097,3,0.031,0,True,0,16
RandomForest,0.893,3.137,3,0.031,0,True,0,32
RandomForest,0.886,3.009,3,0.031,0,True,0,64
RandomForest,0.898,1.204,3,0.016,0,True,0,1
RandomForest,0.878,2.891,3,0.016,0,True,0,2
RandomForest,0.9,2.926,3,0.016,0,True,0,4
RandomForest,0.87,3.284,3,0.016,0,True,0,8
RandomForest,0.896,3.219,3,0.016,0,True,0,16
RandomForest,0.839,2.907,3,0.016,0,True,0,32
RandomForest,0.876,2.133,3,0.016,0,True,0,64
RandomForest,0.891,6.092,4,1.0,0,True,0,1
RandomForest,0.871,3.762,4,1.0,0,True,0,2
RandomForest,0.863,2.651,4,1.0,0,True,0,4
RandomForest,0.878,3.759,4,1.0,0,True,0,8
RandomForest,0.874,4.877,4,1.0,0,True,0,16
RandomForest,0.884,4.805,4,1.0,0,True,0,32
RandomForest,0.863,4.877,4,1.0,0,True,0,64
RandomForest,0.88,3.835,4,0.5,0,True,0,1
RandomForest,0.871,2.72,4,0.5,0,True,0,2
RandomForest,0.862,2.41,4,0.5,0,True,0,4
RandomForest,0.865,3.784,4,0.5,0,True,0,8
RandomForest,0.843,4.371,4,0.5,0,True,0,16
RandomForest,0.879,4.135,4,0.5,0,True,0,32
RandomForest,0.88,3.237,4,0.5,0,True,0,64
RandomForest,0.872,2.482,4,0.25,0,True,0,1
RandomForest,0.859,2.243,4,0.25,0,True,0,2
RandomForest,0.89,3.166,4,0.25,0,True,0,4
RandomForest,0.873,3.648,4,0.25,0,True,0,8
RandomForest,0.879,3.841,4,0.25,0,True,0,16
RandomForest,0.856,3.594,4,0.25,0,True,0,32
RandomForest,0.885,2.679,4,0.25,0,True,0,64
RandomForest,0.878,1.905,4,0.125,0,True,0,1
